Season,Name,Team,O-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),EV,LA,wRC+,NameASCII,PlayerId,MLBAMID
2022,Bryson Stott,PHI,0.28506271,0.4470463,0.752,0.88983051,88.07532066231343,13.079017275855655,84.26787985431471,Bryson Stott,26294,681082
2021,Dominic Smith,NYM,0.32912723,0.51837838,0.55271565,0.8374613,89.02402918,14.930903894761029,84.26561128864844,Dominic Smith,15653,642086
2024,Anthony Rizzo,NYY,0.33105335,0.49092179,0.65289256,0.9154013,86.70410156,14.328487646840784,84.11004751842874,Anthony Rizzo,3473,519203
2023,C.J. Cron,- - -,0.33081285,0.47565543,0.59428571,0.8048048,87.65427559094552,12.840857716095753,84.08334527084152,C.J. Cron,12546,543068
2021,Rougned Odor,NYY,0.27719821,0.50377074,0.54301075,0.80497925,89.06979413507109,19.583470638329384,84.05466908628568,Rougned Odor,12282,596059
2024,Tyler Freeman,CLE,0.28193146,0.46415641,0.67955801,0.92391304,87.73594310035843,12.954889112903226,84.05083590500871,Tyler Freeman,22532,671289
2023,Kyle Higashioka,NYY,0.31524008,0.49207921,0.45695364,0.85549133,90.13993398209064,15.454986750730994,84.03006744546902,Kyle Higashioka,5517,543309
2022,Francisco Mejía,TBR,0.51919866,0.61060329,0.68810289,0.8487395,86.79677083333333,15.664884982638888,84.02455323096429,Francisco Mejia,16403,642336
2022,Isiah Kiner-Falefa,NYY,0.30515917,0.44639175,0.78057554,0.95408163,86.16346373175182,4.288653031136226,84.00252202800836,Isiah Kiner-Falefa,16512,643396
2021,Isiah Kiner-Falefa,TEX,0.30697279,0.46494157,0.70360111,0.94820717,85.45649468,5.361568241328984,83.95441140712525,Isiah Kiner-Falefa,16512,643396
2021,Paul DeJong,STL,0.28316327,0.5,0.51351351,0.82539683,86.33168658088235,16.38898973651961,83.94185191546318,Paul DeJong,18015,657557
2024,Luis Robert Jr.,CHW,0.35585042,0.53076445,0.39322034,0.81753131,90.06019810267857,13.527054075210813,83.93829882530925,Luis Robert Jr.,20043,673357
2022,Jorge Mateo,BAL,0.36105477,0.53128153,0.48876404,0.82352941,86.82438908066861,14.81589952,83.77670254258764,Jorge Mateo,17273,622761
2021,Cavan Biggio,TOR,0.1734104,0.41422222,0.41111111,0.84840426,88.90864146839489,15.421918002041904,83.77529241,Cavan Biggio,19252,624415
2023,Matt Thaiss,LAA,0.20568562,0.45769541,0.48780488,0.75730337,88.47847246201657,9.173617705,83.75364117350318,Matt Thaiss,19318,642136
2023,Taylor Walls,TBR,0.17910448,0.42746479,0.5,0.82546201,86.69423363095238,19.096956380208333,83.68284236364164,Taylor Walls,22458,670764
2021,Charlie Culberson,TEX,0.35772358,0.5251004,0.50568182,0.80979827,85.44718024248634,10.581538299393785,83.57970943376009,Charlie Culberson,3298,518586
2023,Travis d'Arnaud,ATL,0.26482213,0.52017937,0.47761194,0.80493274,90.67838867,10.33295315415112,83.55951598708043,Travis d'Arnaud,7739,518595
2023,Tyler Stephenson,CIN,0.23446894,0.42536585,0.47008547,0.84169279,89.37426017992425,8.946024207,83.55854740925551,Tyler Stephenson,17988,663886
2021,Asdrúbal Cabrera,- - -,0.29819277,0.48169839,0.52020202,0.86956522,87.79620969037472,14.541165768842161,83.45379852,Asdrubal Cabrera,4962,452678
2023,Dylan Carlson,STL,0.24577861,0.45940783,0.63358779,0.86,89.34903025072674,14.959516658339389,83.45210377847849,Dylan Carlson,20126,666185
2023,Maikel Garcia,KCR,0.20920044,0.42835596,0.62303665,0.87594554,91.83124449823944,6.134584224423882,83.37756447423375,Maikel Garcia,22715,672580
2024,Blake Perkins,MIL,0.25175644,0.41176471,0.55813953,0.83767535,88.75734230324075,12.038123914930555,83.28253188,Blake Perkins,19921,663368
2024,Enrique Hernández,LAD,0.27259684,0.48748353,0.58421053,0.84909091,89.64634096372377,17.127671888658217,83.26294345954234,Enrique Hernandez,10472,571771
2021,Ryan Jeffers,MIN,0.29200653,0.46392617,0.45810056,0.79679144,89.23288866,14.042759925314465,83.25046871902562,Ryan Jeffers,24618,680777
2023,Elly De La Cruz,CIN,0.32352941,0.45185185,0.55892256,0.82862903,91.16961518595042,3.6489974092846076,83.20936490293937,Elly De La Cruz,26668,682829
